iso3,sex,age,notes,inc,lo,hi,untreated,untreated.sd,hiv,hiv.sd,propm,propm.sd,cfr,cfr.sd,propmp,propmp.sd,cfrp,cfrp.sd,TBM.hn.treated,TBM.hn.untreated,TBM.hp.treated,TBM.hp.untreated,untreated.hn.sd,untreated.hp.sd,TBM.hn.treated.sd,TBM.hn.untreated.sd,TBM.hp.treated.sd,TBM.hp.untreated.sd,TBMdeaths.hn.treated,TBMdeaths.hn.untreated,TBMdeaths.hn.treated.sd,TBMdeaths.hn.untreated.sd,TBMdeaths.hp.treated,TBMdeaths.hp.untreated,TBMdeaths.hp.treated.sd,TBMdeaths.hp.untreated.sd,g_whoregion,TBM.hn.untreated2,TBM.hp.untreated2,TBM.hn.untreated3,TBM.hp.untreated3,TBM.hn.untreated2.sd,TBM.hp.untreated2.sd,TBMdeaths.hn.untreated2,TBMdeaths.hp.untreated2,TBMdeaths.hn.untreated3,TBMdeaths.hp.untreated3,TBMdeaths.hn.untreated2.sd,TBMdeaths.hp.untreated2.sd,TBM.hn.untreated3.sd,TBM.hp.untreated3.sd,TBMdeaths.hn.untreated3.sd,TBMdeaths.hp.untreated3.sd
GBR,F,45-54,284,310,200,410,26,53.5714285714286,0.028,0.00229591836734694,0.0166385609367796,0.00336755839795547,0.185829045634655,0.012768903400215,0.0576026666866364,0.0225553393942318,0.52175562343224,0.0649713552836343,4.59304146947613,0.420489711994294,0.458056405492133,0.0419347413478713,52.0714627874847,1.50118731643226,0.929671065427678,0.870564053606427,6.40571638796183,0.0880176147918308,0.853520512833143,0.420489711994294,0.182443356876129,0.870564053606427,0.238993505414679,0.0419347413478713,3.3423510452266,0.0880176147918308,EUR,0.210244855997147,0.0209673706739356,0.840979423988588,0.0838694826957426,0.435282026803213,0.0440088073959154,0.210244855997147,0.0209673706739356,0.840979423988588,0.0838694826957426,0.435282026803213,0.0440088073959154,1.74112810721285,0.176035229583662,1.74112810721285,0.176035229583662
GBR,F,55-64,213,230,150,320,17,43.3673469387755,0.028,0.00229591836734694,0.0173749679840095,0.00337586157275103,0.219047784419007,0.0130169711095406,0.0579774904904238,0.023269532590215,0.822184739680894,0.0874586033506401,3.59724387153739,0.287103970967773,0.345777753284888,0.0275972854734417,42.1530792942138,1.21491283004608,0.698976523395087,0.734529633664646,4.9564104417158,0.0713031517176531,0.787968300075116,0.287103970967773,0.160109482290756,0.734529633664646,0.28429319207198,0.0275972854734417,4.07519723747144,0.0713031517176531,EUR,0.143551985483886,0.0137986427367209,0.574207941935546,0.0551945709468835,0.367264816832323,0.0356515758588266,0.143551985483886,0.0137986427367209,0.574207941935546,0.0551945709468835,0.367264816832323,0.0356515758588266,1.46905926732929,0.142606303435306,1.46905926732929,0.142606303435306
GBR,F,65+,329,380,250,510,51,66.3265306122449,0.028,0.00229591836734694,0.0183985941258001,0.00342644188804521,0.339795476019764,0.0135431220852337,0.0480905802109346,0.0243104237575519,1,0.139162605735828,5.88364961830136,0.912055108004162,0.44301042490313,0.0686733485412146,64.4694940884131,1.86083048396855,1.09582312792492,1.19824794014144,7.99812941623458,0.0959860818793572,1.99923752278421,0.912055108004162,0.38078626059259,1.19824794014144,0.44301042490313,0.0686733485412146,7.99836701715729,0.0959860818793572,EUR,0.456027554002081,0.0343366742706073,1.82411021600833,0.137346697082429,0.599123970070722,0.0479930409396786,0.456027554002081,0.0343366742706073,1.82411021600833,0.137346697082429,0.599123970070722,0.0479930409396786,2.39649588028289,0.191972163758714,2.39649588028289,0.191972163758714
GBR,M,15-24,338,380,250,510,42,66.3265306122449,0.028,0.00229591836734694,0.0145076048544532,0.00347061107666213,0.078055067987003,0.0124404346980826,0.049690394677846,0.0242803409685763,0.531145307085716,0.0514654440498722,4.76627046846264,0.592258460578197,0.470269895231135,0.0584359041411469,64.4694598704463,1.85964460616121,1.14027625936224,0.945968148583663,8.20675524737879,0.0967174711001524,0.372031565460296,0.592258460578197,0.106946751484172,0.945968148583663,0.249781647915708,0.0584359041411469,4.35904672650894,0.0967174711001524,EUR,0.296129230289099,0.0292179520705735,1.18451692115639,0.116871808282294,0.472984074291832,0.0483587355500762,0.296129230289099,0.0292179520705735,1.18451692115639,0.116871808282294,0.472984074291832,0.0483587355500762,1.89193629716733,0.193434942200305,1.89193629716733,0.193434942200305
GBR,M,25-34,616,690,460,930,74,119.897959183674,0.028,0.00229591836734694,0.0135938371991375,0.00345439034156893,0.115084611905335,0.0122976097554049,0.0559782525384817,0.0238085614718189,0.526721641569678,0.0296730105370962,8.13933721065798,0.977777522059562,0.965512899783732,0.115986939259734,116.540940168555,3.36143919769495,2.06841247705361,1.60360465280107,14.6660738666404,0.194526569401114,0.936712464055225,0.977777522059562,0.25823069938947,1.60360465280107,0.508556539530788,0.115986939259734,7.72499162912179,0.194526569401114,EUR,0.488888761029781,0.057993469629867,1.95555504411912,0.231973878519468,0.801802326400537,0.0972632847005572,0.488888761029781,0.057993469629867,1.95555504411912,0.231973878519468,0.801802326400537,0.0972632847005572,3.20720930560215,0.389053138802229,3.20720930560215,0.389053138802229
GBR,M,35-44,578,650,420,870,72,114.795918367347,0.028,0.00229591836734694,0.0166900634018484,0.0034764269323307,0.148177303672012,0.0123722593680627,0.0538038087883988,0.0237404490144475,0.497643523302301,0.044363981708375,9.37674466017286,1.16803739711496,0.870760841431446,0.108468478517412,111.581755101974,3.21853363617352,1.95323785135827,1.87813147786588,13.7219795303507,0.179661573697688,1.38942074096535,1.16803739711496,0.311810523682671,1.87813147786588,0.433328493083621,0.108468478517412,6.82876350746838,0.179661573697688,EUR,0.584018698557479,0.054234239258706,2.33607479422992,0.216936957034824,0.939065738932938,0.0898307868488442,0.584018698557479,0.054234239258706,2.33607479422992,0.216936957034824,0.939065738932938,0.0898307868488442,3.75626295573175,0.359323147395377,3.75626295573175,0.359323147395377
GBR,M,45-54,447,500,330,670,53,86.734693877551,0.028,0.00229591836734694,0.0152359760651031,0.00346937684892117,0.197308473691134,0.0127174877569712,0.0454438832619594,0.0238209870662138,0.671439197994505,0.0776647487137166,6.61978782467026,0.784896542969851,0.568775642906684,0.0674387227607478,84.3062102653104,2.43161800043972,1.50746982722236,1.29686226429198,10.6479812185976,0.116018857295192,1.30614023184484,0.784896542969851,0.30912129734931,1.29686226429198,0.381898261512073,0.0674387227607478,7.14960843482499,0.116018857295192,EUR,0.392448271484926,0.0337193613803739,1.5697930859397,0.134877445521496,0.648431132145989,0.058009428647596,0.392448271484926,0.0337193613803739,1.5697930859397,0.134877445521496,0.648431132145989,0.058009428647596,2.59372452858396,0.232037714590384,2.59372452858396,0.232037714590384
GBR,M,55-64,321,360,230,480,39,63.7755102040816,0.028,0.00229591836734694,0.015972383112333,0.00347632909158072,0.230527212475486,0.0129973412268485,0.0458187070657468,0.0245201412046687,0.973828275696671,0.101372816572153,4.98357519964524,0.605481099022319,0.411818539106932,0.0500340281157955,61.989860586701,1.78795779256461,1.08472026700905,0.998856973238029,7.87096532669865,0.086186738625213,1.14884969893618,0.605481099022319,0.25831055733973,0.998856973238029,0.401040537838426,0.0500340281157955,7.66508227927491,0.086186738625213,EUR,0.30274054951116,0.0250170140578978,1.21096219804464,0.100068056231591,0.499428486619014,0.0430933693126065,0.30274054951116,0.0250170140578978,1.21096219804464,0.100068056231591,0.499428486619014,0.0430933693126065,1.99771394647606,0.172373477250426,1.99771394647606,0.172373477250426
GBR,M,65+,426,460,310,620,34,79.0816326530612,0.028,0.00229591836734694,0.0169960092541235,0.00352218591699082,0.351274904076243,0.0135616419671358,0.0359317967862576,0.025668075430585,1,0.132659562013683,7.03757154387343,0.561684113830273,0.428594472066481,0.0342070705405172,76.8673865755878,2.2156612510171,1.45853329837766,1.31161412504978,10.9346001334292,0.0832784417353008,2.47212226900384,0.561684113830273,0.521159823019742,1.31161412504978,0.428594472066481,0.0342070705405172,10.9347479538423,0.0832784417353008,EUR,0.280842056915137,0.0171035352702586,1.12336822766055,0.0684141410810345,0.655807062524888,0.0416392208676504,0.280842056915137,0.0171035352702586,1.12336822766055,0.0684141410810345,0.655807062524888,0.0416392208676504,2.62322825009955,0.166556883470602,2.62322825009955,0.166556883470602
GEO,F,15-24,138,200,87,320,62,59.4387755102041,0.021,0.00306122448979592,0.0159101897261297,0.00336815409229812,0.0665756399305238,0.0124063327029266,0.061849178102523,0.0230088668946282,0.402040926441988,0.0450033907947649,2.14949845237957,0.965716695996621,0.179238918141112,0.0805276298894849,58.1908707454333,1.26256144155052,0.455093989613142,0.948131270606596,3.17522363145869,0.08363761558631,0.143104234996841,0.965716695996621,0.0403624722876834,0.948131270606596,0.0720613807039122,0.0805276298894849,1.27659533495631,0.08363761558631,EUR,0.48285834799831,0.0402638149447425,1.93143339199324,0.16105525977897,0.474065635303298,0.041818807793155,0.48285834799831,0.0402638149447425,1.93143339199324,0.16105525977897,0.474065635303298,0.041818807793155,1.89626254121319,0.16727523117262,1.89626254121319,0.16727523117262
